date,year,rocket_name,launchpad_name,success,flight_number
2006-03-24T22:30:00.000Z,2006,Falcon 1,Kwajalein Atoll,0,1
2007-03-21T01:10:00.000Z,2007,Falcon 1,Kwajalein Atoll,0,2
2008-08-03T03:34:00.000Z,2008,Falcon 1,Kwajalein Atoll,0,3
2008-09-28T23:15:00.000Z,2008,Falcon 1,Kwajalein Atoll,1,4
2009-07-13T03:35:00.000Z,2009,Falcon 1,Kwajalein Atoll,1,5
2010-06-04T18:45:00.000Z,2010,Falcon 9,CCSFS SLC 40,1,6
2010-12-08T15:43:00.000Z,2010,Falcon 9,CCSFS SLC 40,1,7
2012-05-22T07:44:00.000Z,2012,Falcon 9,CCSFS SLC 40,1,8
2012-10-08T00:35:00.000Z,2012,Falcon 9,CCSFS SLC 40,1,9
2013-03-01T19:10:00.000Z,2013,Falcon 9,CCSFS SLC 40,1,10
2013-09-29T16:00:00.000Z,2013,Falcon 9,VAFB SLC 4E,1,11
2013-12-03T22:41:00.000Z,2013,Falcon 9,CCSFS SLC 40,1,12
2014-01-06T18:06:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,13
2014-04-18T19:25:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,14
2014-07-14T15:15:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,15
2014-08-05T08:00:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,16
2014-09-07T05:00:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,17
2014-09-21T05:52:00.000Z,2014,Falcon 9,CCSFS SLC 40,1,18
2015-01-10T09:47:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,19
2015-02-11T23:03:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,20
2015-03-02T03:50:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,21
2015-04-14T20:10:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,22
2015-04-27T23:03:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,23
2015-06-28T14:21:00.000Z,2015,Falcon 9,CCSFS SLC 40,0,24
2015-12-22T01:29:00.000Z,2015,Falcon 9,CCSFS SLC 40,1,25
2016-01-17T15:42:00.000Z,2016,Falcon 9,VAFB SLC 4E,1,26
2016-03-04T23:35:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,27
2016-04-08T20:43:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,28
2016-05-06T05:21:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,29
2016-05-27T21:39:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,30
2016-06-15T14:29:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,31
2016-07-18T04:45:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,32
2016-08-14T05:26:00.000Z,2016,Falcon 9,CCSFS SLC 40,1,33
2016-09-01T13:07:00.000Z,2016,Falcon 9,CCSFS SLC 40,0,34
2017-01-14T17:54:00.000Z,2017,Falcon 9,VAFB SLC 4E,1,35
2017-02-19T14:39:00.000Z,2017,Falcon 9,KSC LC 39A,1,36
2017-03-16T06:00:00.000Z,2017,Falcon 9,KSC LC 39A,1,37
2017-03-30T22:27:00.000Z,2017,Falcon 9,KSC LC 39A,1,38
2017-05-01T11:15:00.000Z,2017,Falcon 9,KSC LC 39A,1,39
