date,year,rocket_name,launchpad_name,success,flight_number
2025-12-17 15:27,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,1
2025-12-17 13:42,2025,Falcon 9 Block 5,Launch Complex 39A,1,2
2025-12-15 05:25,2025,Falcon 9 Block 5,Space Launch Complex 40,1,3
2025-12-14 05:49,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,4
2025-12-11 22:01,2025,Falcon 9 Block 5,Space Launch Complex 40,1,5
2025-12-10 11:40,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,6
2025-12-09 19:16,2025,Falcon 9 Block 5,Space Launch Complex 40,1,7
2025-12-08 22:26,2025,Falcon 9 Block 5,Launch Complex 39A,1,8
2025-12-07 17:58,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,9
2025-12-04 20:42,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,10
2025-12-02 22:18,2025,Falcon 9 Block 5,Space Launch Complex 40,1,11
2025-12-02 05:28,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,12
2025-12-01 07:44,2025,Falcon 9 Block 5,Launch Complex 39A,1,13
2025-11-28 18:44,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,14
2025-11-23 08:48,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,15
2025-11-22 07:53,2025,Falcon 9 Block 5,Space Launch Complex 40,1,16
2025-11-21 03:39,2025,Falcon 9 Block 5,Launch Complex 39A,1,17
2025-11-19 00:12,2025,Falcon 9 Block 5,Space Launch Complex 40,1,18
2025-11-17 05:21,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,19
2025-11-15 06:44,2025,Falcon 9 Block 5,Space Launch Complex 40,1,20
2025-11-15 03:08,2025,Falcon 9 Block 5,Launch Complex 39A,1,21
2025-11-11 03:21,2025,Falcon 9 Block 5,Space Launch Complex 40,1,22
2025-11-09 08:10,2025,Falcon 9 Block 5,Launch Complex 39A,1,23
2025-11-06 21:13,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,24
2025-11-06 01:31,2025,Falcon 9 Block 5,Space Launch Complex 40,1,25
2025-11-02 05:09,2025,Falcon 9 Block 5,Space Launch Complex 40,1,26
2025-10-31 20:41,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,27
2025-10-29 16:35,2025,Falcon 9 Block 5,Space Launch Complex 40,1,28
2025-10-28 00:43,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,29
2025-10-26 15:00,2025,Falcon 9 Block 5,Space Launch Complex 40,1,30
2025-10-25 14:20,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,31
2025-10-24 01:30,2025,Falcon 9 Block 5,Space Launch Complex 40,1,32
2025-10-22 14:16,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,33
2025-10-19 19:24,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,34
2025-10-19 17:39,2025,Falcon 9 Block 5,Space Launch Complex 40,1,35
2025-10-16 09:27,2025,Falcon 9 Block 5,Space Launch Complex 40,1,36
2025-10-15 23:06,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,37
2025-10-14 01:58,2025,Falcon 9 Block 5,Space Launch Complex 40,1,38
2025-10-13 23:23,2025,Starship,Orbital Launch Pad 1,1,39
2025-10-08 03:54,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,40
2025-10-07 06:46,2025,Falcon 9 Block 5,Space Launch Complex 40,1,41
2025-10-03 14:06,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,42
2025-09-29 02:04,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,43
2025-09-26 04:26,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,44
2025-09-25 08:39,2025,Falcon 9 Block 5,Space Launch Complex 40,1,45
2025-09-24 11:30,2025,Falcon 9 Block 5,Launch Complex 39A,1,46
2025-09-22 17:38,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,47
2025-09-21 10:53,2025,Falcon 9 Block 5,Space Launch Complex 40,1,48
2025-09-19 16:31,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,49
2025-09-18 09:30,2025,Falcon 9 Block 5,Space Launch Complex 40,1,50
2025-09-14 22:11,2025,Falcon 9 Block 5,Space Launch Complex 40,1,51
2025-09-13 17:55,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,52
2025-09-12 01:56,2025,Falcon 9 Block 5,Space Launch Complex 40,1,53
2025-09-10 14:12,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,54
2025-09-06 18:06,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,55
2025-09-05 12:32,2025,Falcon 9 Block 5,Launch Complex 39A,1,56
2025-09-03 11:56,2025,Falcon 9 Block 5,Space Launch Complex 40,1,57
2025-09-03 03:51,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,58
2025-08-31 11:49,2025,Falcon 9 Block 5,Space Launch Complex 40,1,59
2025-08-30 04:59,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,60
2025-08-28 08:12,2025,Falcon 9 Block 5,Launch Complex 39A,1,61
2025-08-27 11:10,2025,Falcon 9 Block 5,Space Launch Complex 40,1,62
2025-08-26 23:30,2025,Starship,Orbital Launch Pad 1,1,63
2025-08-26 18:53,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,64
2025-08-24 06:45,2025,Falcon 9 Block 5,Space Launch Complex 40,1,65
2025-08-22 17:04,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,66
2025-08-22 03:50,2025,Falcon 9 Block 5,Launch Complex 39A,1,67
2025-08-18 16:26,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,68
2025-08-14 12:29,2025,Falcon 9 Block 5,Space Launch Complex 40,1,69
2025-08-14 05:05,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,70
2025-08-11 12:35,2025,Falcon 9 Block 5,Space Launch Complex 40,1,71
2025-08-04 07:57,2025,Falcon 9 Block 5,Space Launch Complex 40,1,72
2025-08-01 15:43,2025,Falcon 9 Block 5,Launch Complex 39A,1,73
2025-07-31 18:35,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,74
2025-07-30 03:37,2025,Falcon 9 Block 5,Space Launch Complex 40,1,75
2025-07-27 04:31,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,76
2025-07-26 09:01,2025,Falcon 9 Block 5,Space Launch Complex 40,1,77
2025-07-23 18:13,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,78
2025-07-22 21:12,2025,Falcon 9 Block 5,Space Launch Complex 40,1,79
2025-07-19 03:52,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,80
2025-07-16 06:30,2025,Falcon 9 Block 5,Space Launch Complex 40,1,81
2025-07-16 02:05,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,82
2025-07-13 05:04,2025,Falcon 9 Block 5,Space Launch Complex 40,1,83
2025-07-08 08:21,2025,Falcon 9 Block 5,Space Launch Complex 40,1,84
2025-07-02 06:28,2025,Falcon 9 Block 5,Space Launch Complex 40,1,85
2025-07-01 21:04,2025,Falcon 9 Block 5,Launch Complex 39A,1,86
2025-06-28 17:13,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,87
2025-06-28 04:26,2025,Falcon 9 Block 5,Space Launch Complex 40,1,88
2025-06-25 19:54,2025,Falcon 9 Block 5,Space Launch Complex 40,1,89
2025-06-25 06:31,2025,Falcon 9 Block 5,Launch Complex 39A,1,90
2025-06-23 21:25,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,91
2025-06-23 05:58,2025,Falcon 9 Block 5,Space Launch Complex 40,1,92
2025-06-18 05:55,2025,Falcon 9 Block 5,Space Launch Complex 40,1,93
2025-06-17 03:36,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,94
2025-06-13 15:29,2025,Falcon 9 Block 5,Space Launch Complex 40,1,95
2025-06-13 01:54,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,96
2025-06-10 13:05,2025,Falcon 9 Block 5,Space Launch Complex 40,1,97
2025-06-08 14:20,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,98
2025-06-07 04:54,2025,Falcon 9 Block 5,Space Launch Complex 40,1,99
2025-06-04 23:40,2025,Falcon 9 Block 5,Space Launch Complex 4E,1,100
